flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
38490,10.0.1.1,10.0.5.5,80,2157,0,2,31,46,0.0,0.01799730798066956,111.127731,108,6
43291,10.0.1.1,10.0.5.5,2221,80,2,0,31,46,0.018457763252625565,0.0,108.355491,108,6
26202,10.0.1.1,10.0.5.5,80,2158,0,2,31,46,0.0,0.017978830322829136,111.241942,108,6
60699,10.0.1.1,10.0.5.5,2222,80,2,0,12,14,0.018444159012886315,0.0,108.435413,108,6
63067,10.0.1.1,10.0.5.5,80,2159,0,2,12,14,0.0,0.017974467987202897,111.26894,108,6
4378,10.0.1.1,10.0.5.5,2223,80,2,0,12,14,0.01843163571302308,0.0,108.509089,108,6
50461,10.0.1.1,10.0.5.5,2224,80,2,0,12,14,0.018419836461876553,0.0,108.578597,108,6
50771,10.0.1.1,10.0.5.5,80,2160,0,2,12,14,0.0,0.01794458215964177,111.454253,108,6
14620,10.0.1.1,10.0.5.5,2225,80,2,0,12,14,0.018407709899940658,0.0,108.650126,108,6
22098,10.0.1.1,10.0.5.5,80,2161,0,2,12,14,0.0,0.01795803865426517,111.370737,108,6
32028,10.0.1.1,10.0.5.5,2226,80,2,0,12,14,0.018377751071229922,0.0,108.827244,108,6
42578,10.0.1.1,10.0.5.5,80,2162,0,2,12,14,0.0,0.017954445209573126,111.393027,108,6
33053,10.0.1.1,10.0.5.5,2227,80,2,0,12,14,0.018371678793168828,0.0,108.863214,108,6
13907,10.0.1.1,10.0.5.5,80,2163,0,2,12,14,0.0,0.01792894974157705,111.551431,108,6
2333,10.0.1.1,10.0.5.5,2229,80,2,0,12,14,0.018360000147247202,0.0,108.932461,108,6
1617,10.0.1.1,10.0.5.5,80,2164,0,2,32,40,0.0,0.017882834103022435,111.839096,108,6
19741,10.0.1.1,10.0.5.5,2230,80,2,0,32,40,0.01831335753498472,0.0,109.209903,108,6
38480,10.0.1.1,10.0.5.5,80,2165,0,2,32,40,0.0,0.01786633476733896,111.942378,108,6
45340,10.0.1.1,10.0.5.5,2231,80,2,0,32,40,0.018299034477064467,0.0,109.295384,108,6
26192,10.0.1.1,10.0.5.5,80,2166,0,2,32,40,0.0,0.017842599386244915,112.091291,108,6
22814,10.0.1.1,10.0.5.5,2233,80,2,0,32,40,0.018269597953015783,0.0,109.471484,108,6
63057,10.0.1.1,10.0.5.5,80,2167,0,2,32,40,0.0,0.017815597519997565,112.26118,108,6
7454,10.0.1.1,10.0.5.5,2234,80,2,0,32,40,0.018247337736233455,0.0,109.60503,108,6
